EmpId,ProjectId,DateFrom,DateTo
108,7,2023-07-22,2022-06-17
106,7,2022-03-02,2021-12-08
109,8,2020-04-10,2023-08-14
103,5,2023-06-29,2022-07-08
110,5,2020-07-09,2021-04-04
102,3,2023-07-21,2023-06-23
111,2,2020-07-16,2021-12-16
108,7,2023-04-27,2021-07-05
109,1,2020-08-02,2022-12-16
111,1,2021-01-20,2023-12-26
103,1,2020-12-22,2022-07-01
110,7,2022-10-20,2022-07-01
105,2,2020-03-26,2022-08-13
103,2,2020-11-24,2023-01-19
107,3,2021-06-06,2021-12-22
103,8,2023-12-22,2022-03-23
110,5,2022-06-12,2023-12-30
107,1,2022-10-30,2022-12-24
111,5,2022-02-09,2023-01-26
111,1,2022-08-23,2023-04-29
110,2,2020-01-04,2023-12-27
108,3,2023-03-13,2022-12-27
103,5,2020-10-13,2022-05-28
106,8,2021-08-03,2023-01-09
111,6,2022-09-08,2022-10-22
101,5,2020-07-28,2023-11-22
101,8,2023-12-28,2021-06-15
110,7,2021-06-13,2021-05-01
106,3,2021-10-10,2023-10-12
103,8,2020-12-27,2021-05-18
104,8,2022-04-23,2022-09-07
101,5,2021-11-15,2021-02-10
105,8,2022-07-16,2022-03-01
102,6,2023-09-12,2023-05-14
101,3,2021-12-15,2021-12-12
101,2,2023-03-05,2021-09-15
109,2,2023-04-02,2022-05-28
104,3,2021-02-03,2021-04-20
104,2,2021-01-13,2021-04-04
108,4,2023-12-04,2023-07-28
107,7,2021-01-08,2023-09-23
105,2,2022-04-04,2023-04-19
111,7,2020-07-05,2022-06-09
111,7,2023-09-01,2023-08-18
107,6,2023-04-15,2021-07-13
109,2,2021-11-23,2023-02-17
108,4,2020-03-23,2023-06-18
110,6,2020-10-12,2022-05-10
105,3,2023-05-14,2022-10-14
107,4,2020-11-09,2021-05-05
111,8,2021-06-24,2023-08-25
105,5,2022-07-01,2021-08-06
109,3,2022-12-26,2023-03-13
108,2,2020-12-21,2022-11-09
101,7,2022-10-14,2022-10-03
103,3,2023-11-03,2021-05-02
101,2,2023-09-16,2022-11-18
108,4,2022-10-31,2021-12-12
108,2,2023-11-24,2023-01-21
109,7,2023-01-14,2023-09-01
102,3,2020-07-07,2023-09-01
105,2,2023-05-04,2023-05-16
106,3,2022-07-15,2022-11-19
108,5,2023-03-21,2023-09-25
105,2,2020-06-30,2022-04-20
109,6,2020-02-14,2021-08-10
109,8,2021-03-01,2022-02-11
108,2,2020-05-22,2023-07-03
111,7,2023-10-05,2023-07-24
108,7,2020-12-20,2021-12-05
111,1,2021-06-21,2023-10-08
108,1,2020-10-31,2022-03-28
108,3,2023-12-24,2023-06-01
111,5,2020-10-06,2021-04-25
107,6,2022-04-03,2021-06-15
105,3,2023-04-24,2021-06-06
108,1,2023-07-12,2021-09-12
102,3,2023-09-12,2022-11-20
101,6,2023-09-06,2021-09-04
104,1,2023-07-30,2023-02-18
102,3,2022-07-01,2023-09-16
103,8,2022-09-05,2022-05-22
105,6,2020-03-29,2022-09-26
107,6,2020-03-22,2022-07-24
107,3,2020-01-27,2023-08-07
106,5,2023-07-22,2021-06-26
101,1,2021-10-04,2023-08-19
101,3,2022-03-04,2021-10-01
103,6,2022-07-24,2023-11-26
105,8,2020-04-03,2022-12-29
105,2,2020-07-20,2023-10-05
105,1,2020-02-22,2023-03-26
105,6,2023-02-24,2021-12-19
110,3,2023-07-02,2022-08-13
105,7,2020-10-25,2023-04-08
103,1,2022-12-10,2023-05-27
110,2,2020-07-30,2023-03-29
102,7,2021-10-17,2021-11-16
106,3,2020-04-24,2023-10-15
102,5,2021-11-17,2021-11-28
