EmpId,ProjectId,DateFrom,DateTo
108,7,17.6.2022,22.7.2023
106,7,8.12.2021,2.3.2022
109,8,10.4.2020,14.8.2023
103,5,8.7.2022,29.6.2023
110,5,9.7.2020,4.4.2021
102,1,23.6.2023,21.7.2023
111,2,16.7.2020,16.12.2021
108,8,5.7.2021,27.4.2023
109,1,2.8.2020,16.12.2022
111,4,20.1.2021,26.12.2023
103,1,22.12.2020,1.7.2022
110,7,1.7.2022,20.10.2022
105,4,26.3.2020,13.8.2022
103,2,24.11.2020,19.1.2023
107,3,6.6.2021,22.12.2021
102,8,23.3.2022,22.12.2023
110,9,12.6.2022,30.12.2023
107,1,30.10.2022,24.12.2022
111,5,9.2.2022,26.1.2023
111,1,23.8.2022,29.4.2023
110,2,4.1.2020,27.12.2023
108,3,27.12.2022,13.3.2023
103,7,13.10.2020,28.5.2022
106,8,3.8.2021,9.1.2023
111,6,8.9.2022,22.10.2022
101,5,28.7.2020,22.11.2023
101,8,15.6.2021,28.12.2023
110,8,1.5.2021,13.6.2021
106,3,10.10.2021,12.10.2023
103,8,27.12.2020,18.5.2021
104,8,23.4.2022,7.9.2022
101,9,10.2.2021,15.11.2021
105,8,1.3.2022,16.7.2022
102,6,14.5.2023,12.9.2023
101,3,12.12.2021,15.12.2021
101,2,15.9.2021,5.3.2023
109,2,28.5.2022,2.4.2023
104,3,3.2.2021,20.4.2021
104,2,13.1.2021,4.4.2021
108,4,28.7.2023,4.12.2023
107,7,8.1.2021,23.9.2023
105,2,4.4.2022,19.4.2023
107,6,13.7.2021,15.4.2023
109,4,23.11.2021,17.2.2023
110,6,12.10.2020,10.5.2022
107,4,9.11.2020,5.5.2021
111,8,24.6.2021,25.8.2023
105,5,6.8.2021,1.7.2022
109,3,26.12.2022,13.3.2023
101,7,3.10.2022,14.10.2022
103,3,2.5.2021,3.11.2023
101,4,18.11.2022,16.9.2023
108,2,21.1.2023,24.11.2023
109,7,14.1.2023,1.9.2023
102,2,7.7.2020,1.9.2023
105,9,4.5.2023,16.5.2023
106,1,15.7.2022,19.11.2022
108,5,21.3.2023,25.9.2023
109,6,14.2.2020,10.8.2021
109,9,1.3.2021,11.2.2022
111,7,24.7.2023,5.10.2023
108,9,20.12.2020,5.12.2021
108,1,31.10.2020,28.3.2022
111,9,6.10.2020,25.4.2021
107,8,15.6.2021,3.4.2022
102,3,20.11.2022,12.9.2023
101,6,4.9.2021,6.9.2023
104,1,18.2.2023,30.7.2023
102,9,1.7.2022,16.9.2023
103,9,22.5.2022,5.9.2022
107,9,22.3.2020,24.7.2022
107,3,27.1.2020,7.8.2023
106,5,26.6.2021,22.7.2023
101,1,4.10.2021,19.8.2023
103,6,24.7.2022,26.11.2023
105,1,22.2.2020,26.3.2023
105,6,19.12.2021,24.2.2023
110,3,13.8.2022,2.7.2023
105,7,25.10.2020,8.4.2023
103,4,10.12.2022,27.5.2023
110,1,30.7.2020,29.3.2023
102,7,17.10.2021,16.11.2021
106,4,24.4.2020,15.10.2023
102,5,17.11.2021,28.11.2021
